
Standard & Poors 500 Index,Last: 4115.9902,Change:  6.8802
"Date: April 11, 2023 at 3:57 PM EDT",Bid: 4115.48,Ask: 4116.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Sep 15 2023,SPX230915C03810000,409.75,0,451.5,452.5,0,0.2218,0.7615,0.0005,2,3810.00,SPX230915P03810000,88.22,-7.23,89.6,90.1,2,0.2218,-0.2397,0.0005,56
Fri Sep 15 2023,SPX230915C03820000,372.08,0,443.7,444.7,0,0.2207,0.7567,0.0005,0,3820.00,SPX230915P03820000,90,-7.45,91.5,92.1,8,0.2208,-0.2445,0.0005,150
Fri Sep 15 2023,SPX230915C03825000,427.12,0,439.7,440.7,0,0.2202,0.7543,0.0005,370,3825.00,SPX230915P03825000,95.66,-2.79,92.5,93,100,0.2201,-0.2469,0.0005,3150
Fri Sep 15 2023,SPX230915C03830000,360.95,0,435.8,436.8,0,0.2195,0.7519,0.0005,1,3830.00,SPX230915P03830000,96.4,-3.1,93.4,94,1,0.2196,-0.2493,0.0005,762
Fri Sep 15 2023,SPX230915C03840000,440.99,0,428,429,0,0.2184,0.747,0.0006,1,3840.00,SPX230915P03840000,94.27,-7.23,95.4,96,3,0.2185,-0.2542,0.0006,519
Fri Sep 15 2023,SPX230915C03850000,417.62,4.52,420.3,421.3,6,0.2174,0.742,0.0006,6267,3850.00,SPX230915P03850000,100.75,-2.85,97.4,98,10,0.2174,-0.2592,0.0006,10191
Fri Sep 15 2023,SPX230915C03860000,395.42,0,412.5,413.5,0,0.2162,0.7369,0.0006,5,3860.00,SPX230915P03860000,98.27,-7.48,99.5,100.1,9,0.2163,-0.2643,0.0006,105
Fri Sep 15 2023,SPX230915C03870000,394.91,0,404.8,405.8,0,0.2151,0.7317,0.0006,0,3870.00,SPX230915P03870000,105,-2.9,101.6,102.1,4,0.2152,-0.2695,0.0006,127
Fri Sep 15 2023,SPX230915C03875000,380.25,0,401,402,0,0.2145,0.7291,0.0006,1947,3875.00,SPX230915P03875000,102.58,-6.42,102.6,103.2,18,0.2146,-0.2721,0.0006,6159
Fri Sep 15 2023,SPX230915C03880000,0,0,397.2,398.2,0,0.214,0.7264,0.0006,0,3880.00,SPX230915P03880000,111.7,0,103.7,104.3,0,0.2141,-0.2747,0.0006,118
Fri Sep 15 2023,SPX230915C03890000,287.05,0,389.5,390.5,0,0.2129,0.7211,0.0006,0,3890.00,SPX230915P03890000,104.9,-7.4,105.9,106.4,45,0.2128,-0.2801,0.0006,157
Fri Sep 15 2023,SPX230915C03900000,373.35,0,382,383,0,0.2117,0.7157,0.0006,8539,3900.00,SPX230915P03900000,106.77,-7.83,108.1,108.6,960,0.2118,-0.2855,0.0006,20290
Fri Sep 15 2023,SPX230915C03910000,335.13,0,374.4,375.4,0,0.2105,0.7101,0.0006,1,3910.00,SPX230915P03910000,116.57,0,110.3,110.9,0,0.2106,-0.291,0.0006,101
Fri Sep 15 2023,SPX230915C03920000,362.42,0,366.9,367.9,0,0.2094,0.7045,0.0006,5,3920.00,SPX230915P03920000,116,-3.3,112.6,113.2,1,0.2095,-0.2967,0.0006,257
Fri Sep 15 2023,SPX230915C03925000,367.64,11.04,363.3,364.2,12,0.2088,0.7017,0.0006,2266,3925.00,SPX230915P03925000,112.7,-7.8,113.8,114.3,164,0.2089,-0.2995,0.0006,2933
